directorId,directorName,movieCount,ratingSum,normalizedMovieRank,googleHits,normalizedGoogleRank,normalizedRating
92,Eeshwar Nivas,6,150,1.355260015,35100,1.252249956,1.395099998
93,Hasnain Hyderabadwala,4,100,1.355260015,1780,1.004169941,1.346629977
94,Subhash Ghai,4,90,1.177629948,96200,1.707180023,1.310469985
95,Guddu Dhanoa,5,120,1.284209967,5370,1.030900002,1.282459974
96,Kabir Sadanand,3,70,1.23684001,13900,1.094409943,1.248600006
97,Kanti Shah,6,130,1.118420005,93300,1.685580015,1.248409986
98,Robby Grewal,3,70,1.23684001,3150,1.014369965,1.232959986
99,Hriday Shetty,3,70,1.23684001,3100,1.014000058,1.23289001
100,Anant Balani,3,70,1.23684001,2300,1.008039951,1.231719971
101,Kabeer Kaushik,4,90,1.177629948,41500,1.299909949,1.230909944
102,Amol Shetge,3,70,1.23684001,1710,1.00364995,1.230870008
103,Pankaj Parashar,4,90,1.177629948,29400,1.209810019,1.213310003
104,N/A,7,180,1.406020045,0,0,1.200039983
105,Rajiv S. Ruia,6,130,1.118420005,6430,1.038789988,1.122069955
106,Ashu Trikha,6,130,1.118420005,4020,1.020849943,1.118559957
107,Tanuja Chandra,3,60,1,64400,1.470409989,1.090710044
108,Mehul Kumar,3,60,1,52400,1.381060004,1.07325995
109,Ashok Tyagi,3,60,1,51200,1.372130036,1.071519971
110,Chandan Arora,3,60,1,45900,1.332669973,1.063809991
111,Rahat Kazmi,3,60,1,39500,1.28500998,1.054499984
112,Raj N. Sippy,3,60,1,29700,1.212049961,1.040240049
113,Ajai Sinha,3,60,1,14800,1.101109982,1.018569946
114,Shyam Ramsay,3,60,1,9930,1.064849973,1.011489987
115,Jag Mundhra,3,60,1,6710,1.040879965,1.00680995
116,Kalpana Lajmi,3,60,1,4380,1.023530006,1.003419995
117,Ajay Chandhok,4,80,1,2420,1.008929968,1.000570059
118,Puneet Sira,3,60,1,2030,1.006029963,1
